Corrected_mass_flow(kg/s),x_30(m),r_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),Ttr_AA_15_30,ptr_AA_15_30
14.784,-0.088,0.120081633,8.7408E-06,139536.609,332.533569,1.125401276,1.411456696
14.784,-0.088,0.120084614,5.13408E-05,139662.844,332.618683,1.125689329,1.412733603
14.784,-0.088,0.120088756,0.000110555,140086.719,332.905151,1.12665883,1.417021232
14.784,-0.088,0.120094508,0.000192773,140864.438,333.429321,1.128432791,1.424888104
14.784,-0.088,0.12010245,0.000306302,141926,334.140381,1.130839248,1.435626138
14.784,-0.088,0.120113462,0.000463709,143097.063,334.918854,1.133473853,1.447471809
14.784,-0.088,0.120128706,0.000681608,144245.891,335.674866,1.136032442,1.459092565
14.784,-0.088,0.120149814,0.000983323,145332.891,336.379974,1.138418756,1.470087912
14.784,-0.088,0.120179035,0.001401016,146362.188,337.034119,1.140632594,1.480499575
14.784,-0.088,0.120219484,0.001979204,147343.469,337.639832,1.142682523,1.490425541
14.784,-0.088,0.120275497,0.002779872,148284.063,338.196808,1.14456751,1.499939945
14.784,-0.088,0.120353073,0.00388875,149190.125,338.702881,1.146280225,1.509105048
14.784,-0.088,0.120460451,0.005423628,150070.063,339.155396,1.147811683,1.518005897
14.784,-0.088,0.120609149,0.007549156,150937.438,339.552582,1.149155889,1.526779668
14.784,-0.088,0.120815024,0.010491964,151815.75,339.894653,1.150313568,1.53566407
14.784,-0.088,0.121100068,0.014566442,152741.359,340.176147,1.151266235,1.545026897
14.784,-0.088,0.121494845,0.020209452,153675.563,340.362122,1.151895634,1.554476664
14.784,-0.088,0.121890388,0.025864791,154503.484,340.399414,1.152021842,1.562851345
14.784,-0.088,0.122315019,0.031936217,155175.844,340.262787,1.151559452,1.569652478
14.784,-0.088,0.122771926,0.038469125,155673.703,339.968445,1.150563304,1.574688479
14.784,-0.088,0.123263508,0.04549782,155961.594,339.577728,1.149240991,1.577600587
14.784,-0.088,0.123792604,0.05306517,156046,339.172607,1.14786993,1.57845438
14.784,-0.088,0.124361567,0.061201215,155974.125,338.798859,1.146605046,1.577727342
14.784,-0.088,0.124973774,0.069955617,155802.531,338.456421,1.145446125,1.575991614
14.784,-0.088,0.125632346,0.079374544,155582.406,338.135956,1.144361568,1.573764981
14.784,-0.088,0.126340941,0.089507178,155357.031,337.844604,1.143375538,1.571485242
14.784,-0.088,0.127103195,0.100407802,155153.844,337.597229,1.142538341,1.569429941
14.784,-0.088,0.127923474,0.112136632,154975.469,337.398224,1.141864844,1.567625622
14.784,-0.088,0.128806055,0.124754533,154804.438,337.243164,1.14134007,1.56589559
14.784,-0.088,0.129755378,0.138328895,154629.297,337.128876,1.140953283,1.564123983
14.784,-0.088,0.130776584,0.1529309,154463.516,337.050842,1.14068919,1.562447056
14.784,-0.088,0.131876156,0.168645754,154336.219,337.000732,1.140519602,1.561159407
14.784,-0.088,0.133058488,0.185547233,154272.656,336.974548,1.140430987,1.560516448
14.784,-0.088,0.13433066,0.203731343,154279.344,336.974792,1.140431813,1.560584099
14.784,-0.088,0.135700062,0.223297819,154336.766,337.002411,1.140525284,1.56116494
14.784,-0.088,0.137172952,0.244347334,154419.844,337.047363,1.140677416,1.5620053
14.784,-0.088,0.138757497,0.266991407,154534.344,337.090698,1.140824076,1.563163504
14.784,-0.088,0.140462264,0.291353017,154679.5,337.123169,1.140933968,1.564631803
14.784,-0.088,0.142167017,0.315715075,154817.547,337.150635,1.141026922,1.566028191
14.784,-0.088,0.143871635,0.340076327,154940.906,337.177734,1.141118634,1.567276006
14.784,-0.088,0.145576194,0.364438385,155051.125,337.196472,1.14118205,1.568390906
14.784,-0.088,0.147280574,0.388800085,155125.906,337.199707,1.141192998,1.56914734
14.784,-0.088,0.14898476,0.413161278,155186.25,337.201263,1.141198264,1.569757738
14.784,-0.088,0.150688842,0.437522799,155269.875,337.216003,1.141248149,1.570603631
14.784,-0.088,0.152392834,0.461884558,155353.844,337.230774,1.141298139,1.571453004
14.784,-0.088,0.154096752,0.486246347,155404.453,337.233276,1.141306606,1.57196493
14.784,-0.088,0.155800611,0.510607541,155451.797,337.247437,1.141354532,1.57244383
14.784,-0.088,0.157504603,0.534969568,155527,337.310913,1.141569355,1.573204532
14.784,-0.088,0.159208536,0.559331536,155612,337.461792,1.142079978,1.574064333
14.784,-0.088,0.16091238,0.583693385,155691.188,337.748657,1.143050822,1.574865345
14.784,-0.088,0.162616089,0.608055353,155784.219,338.209839,1.144611612,1.575806383
14.784,-0.088,0.164319634,0.632417202,155921,338.849548,1.146776594,1.577189966
14.784,-0.088,0.166022956,0.656778932,156094.25,339.652161,1.149492896,1.578942444
14.784,-0.088,0.167726085,0.681141138,156261.688,340.605133,1.152718062,1.580636132
14.784,-0.088,0.169428945,0.705502927,156355.141,341.674622,1.156337559,1.581581438
14.784,-0.088,0.171131521,0.729864776,156323.469,342.787048,1.160102369,1.581261066
14.784,-0.088,0.17283386,0.754227519,156206.938,343.879028,1.163797983,1.580082318
14.784,-0.088,0.174400702,0.776655674,156074.219,344.942139,1.167395895,1.578739824
14.784,-0.088,0.175842971,0.797304392,155953.875,345.993774,1.170954968,1.577522507
14.784,-0.088,0.177170485,0.816314936,155867.594,347.03302,1.174472113,1.576649747
14.784,-0.088,0.17839247,0.833816409,155837.125,348.053925,1.177927186,1.576341544
14.784,-0.088,0.179516941,0.849922776,155861.672,349.059448,1.181330202,1.576589844
14.784,-0.088,0.180552647,0.864759743,155914.906,350.046143,1.184669497,1.577128323
14.784,-0.088,0.181506336,0.878420711,155960.313,351.002228,1.187905198,1.577587629
14.784,-0.088,0.182383418,0.890986741,155965.781,351.916718,1.191000129,1.57764294
14.784,-0.088,0.183192194,0.902570248,155911.438,352.783569,1.193933833,1.577093243
14.784,-0.088,0.183935389,0.913217247,155791,353.598572,1.196692067,1.575874975
14.784,-0.088,0.184619486,0.923017561,155604.813,354.362793,1.199278438,1.573991635
14.784,-0.088,0.185251713,0.932066739,155360.281,355.072632,1.201680764,1.571518117
14.784,-0.088,0.185831517,0.940370202,155066.813,355.71698,1.203861446,1.568549595
14.784,-0.088,0.186365396,0.948016107,154732.125,356.286987,1.205790534,1.565164121
14.784,-0.088,0.186860144,0.955091238,154367.406,356.771484,1.207430229,1.561474874
14.784,-0.088,0.187312514,0.961565733,153983.406,357.160767,1.208747689,1.557590593
14.784,-0.088,0.187729001,0.967526674,153584.688,357.451569,1.209731857,1.553557435
14.784,-0.088,0.188112319,0.973012924,153166,357.648499,1.210398332,1.549322274
14.784,-0.088,0.188470006,0.978123724,152714.125,357.754517,1.210757131,1.544751416
14.784,-0.088,0.18879512,0.982772708,152194.75,357.764252,1.210790077,1.539497775
14.784,-0.088,0.189120144,0.98742038,151591.406,357.672974,1.210481163,1.53339476
14.784,-0.088,0.189357787,0.99081862,150943,357.486267,1.209849286,1.52683593
14.784,-0.088,0.189531654,0.993304729,150267.672,357.214294,1.208928841,1.520004774
14.784,-0.088,0.18965888,0.995123982,149549.656,356.863464,1.207741519,1.512741817
14.784,-0.088,0.189751893,0.996454,148783.406,356.440247,1.206309216,1.504990957
14.784,-0.088,0.189819962,0.997427344,147969.063,355.952698,1.204659192,1.496753621
14.784,-0.088,0.189869776,0.998139679,147108.719,355.409058,1.202819338,1.488050971
14.784,-0.088,0.18990621,0.998660624,146202.969,354.815247,1.200809689,1.478889025
14.784,-0.088,0.189932838,0.999041438,145249.313,354.17392,1.198639231,1.469242494
14.784,-0.088,0.189952344,0.999320388,144243.828,353.485046,1.196307858,1.459071697
14.784,-0.088,0.189966589,0.999524057,143191.391,352.754089,1.193834063,1.448425966
14.784,-0.088,0.189977035,0.999673426,142128.531,352.009064,1.191312657,1.437674803
14.784,-0.088,0.189984649,0.999782324,141151,351.318787,1.188976536,1.427786769
14.784,-0.088,0.189990267,0.999862552,140391.438,350.779358,1.187150934,1.420103561
14.784,-0.088,0.189994335,0.999920845,139921.094,350.444458,1.186017524,1.415345883
14.784,-0.088,0.189997315,0.999963403,139759.359,350.329315,1.185627843,1.413709883
15.942,-0.088,0.120081633,8.7408E-06,128155.891,326.763611,1.10587387,1.296337154
15.942,-0.088,0.120084614,5.13408E-05,128327.609,326.88739,1.106292778,1.298074135
15.942,-0.088,0.120088756,0.000110555,128893.953,327.296204,1.107676337,1.303802883
15.942,-0.088,0.120094508,0.000192773,129903.016,328.021484,1.110130919,1.314009873
15.942,-0.088,0.12010245,0.000306302,131238.75,328.973846,1.113354021,1.327521242
15.942,-0.088,0.120113462,0.000463709,132679.406,329.990601,1.116795049,1.342093931
15.942,-0.088,0.120128706,0.000681608,134078.844,330.965179,1.120093336,1.356249686
15.942,-0.088,0.120149814,0.000983323,135400.625,331.869354,1.123153357,1.369619917
15.942,-0.088,0.120179035,0.001401016,136651.891,332.704926,1.125981203,1.382276866
15.942,-0.088,0.120219484,0.001979204,137843.406,333.475159,1.128587921,1.394329415
15.942,-0.088,0.120275497,0.002779872,138982.922,334.17981,1.130972689,1.405855978
15.942,-0.088,0.120353073,0.00388875,140078.563,334.818115,1.133132919,1.416938732
15.942,-0.088,0.120460451,0.005423628,141143.984,335.391907,1.135074817,1.4277158
15.942,-0.088,0.120609149,0.007549156,142203.188,335.906311,1.136815727,1.438429982
15.942,-0.088,0.120815024,0.010491964,143295.375,336.367737,1.138377342,1.449477797
15.942,-0.088,0.121100068,0.014566442,144473.969,336.76825,1.139732808,1.461399646
15.942,-0.088,0.121494845,0.020209452,145690.781,337.048279,1.140680516,1.473708082
15.942,-0.088,0.121890388,0.025864791,146801.109,337.11908,1.14092013,1.484939399
15.942,-0.088,0.122315019,0.031936217,147753.938,336.940308,1.140315108,1.494577564
15.942,-0.088,0.122771926,0.038469125,148544.156,336.537231,1.138950965,1.502570868
15.942,-0.088,0.123263508,0.04549782,149144.078,336.006256,1.137153973,1.508639268
15.942,-0.088,0.123792604,0.05306517,149570.172,335.492706,1.135415954,1.512949343
15.942,-0.088,0.124361567,0.061201215,149871.641,335.102234,1.13409447,1.515998796
15.942,-0.088,0.124973774,0.069955617,150072.109,334.838562,1.133202119,1.518026593
15.942,-0.088,0.125632346,0.079374544,150141.391,334.62207,1.13246944,1.518727402
15.942,-0.088,0.126340941,0.089507178,150037.469,334.369812,1.131615717,1.517676199
15.942,-0.088,0.127103195,0.100407802,149769.719,334.064514,1.13058249,1.514967823
15.942,-0.088,0.127923474,0.112136632,149408.563,333.755554,1.129536869,1.511314617
15.942,-0.088,0.128806055,0.124754533,149045.266,333.508667,1.128701323,1.507639753
15.942,-0.088,0.129755378,0.138328895,148760.375,333.358704,1.1281938,1.504757991
15.942,-0.088,0.130776584,0.1529309,148601.563,333.297119,1.127985376,1.503151558
15.942,-0.088,0.131876156,0.168645754,148557.078,333.286377,1.127949022,1.502701578
15.942,-0.088,0.133058488,0.185547233,148569.844,333.281403,1.127932188,1.50283071
15.942,-0.088,0.13433066,0.203731343,148594.719,333.259094,1.127856687,1.503082329
15.942,-0.088,0.135700062,0.223297819,148621.469,333.229248,1.127755679,1.503352913
15.942,-0.088,0.137172952,0.244347334,148656.234,333.204346,1.127671402,1.503704572
15.942,-0.088,0.138757497,0.266991407,148720.125,333.178497,1.127583921,1.50435085
15.942,-0.088,0.140462264,0.291353017,148802.594,333.146729,1.127476408,1.50518505
15.942,-0.088,0.142167017,0.315715075,148838.953,333.113647,1.127364448,1.505552832
15.942,-0.088,0.143871635,0.340076327,148818.219,333.078979,1.12724712,1.505343101
15.942,-0.088,0.145576194,0.364438385,148768.766,333.034119,1.127095299,1.504842869
15.942,-0.088,0.147280574,0.388800085,148682.828,332.9776,1.126904021,1.503973579
15.942,-0.088,0.14898476,0.413161278,148585.953,332.925903,1.126729061,1.502993658
15.942,-0.088,0.150688842,0.437522799,148524.875,332.892303,1.126615348,1.502375835
15.942,-0.088,0.152392834,0.461884558,148471.406,332.860138,1.126506491,1.501834979
15.942,-0.088,0.154096752,0.486246347,148388.906,332.81488,1.126353323,1.501000465
15.942,-0.088,0.155800611,0.510607541,148325.688,332.773132,1.126212035,1.500360995
15.942,-0.088,0.157504603,0.534969568,148308.719,332.743652,1.126112265,1.500189349
15.942,-0.088,0.159208536,0.559331536,148287.688,332.716125,1.126019105,1.499976613
15.942,-0.088,0.16091238,0.583693385,148230.109,332.693451,1.125942368,1.499394184
15.942,-0.088,0.162616089,0.608055353,148156.25,332.693481,1.12594247,1.498647077
15.942,-0.088,0.164319634,0.632417202,148092.094,332.738586,1.12609512,1.497998119
15.942,-0.088,0.166022956,0.656778932,148040.25,332.852722,1.126481393,1.4974737
15.942,-0.088,0.167726085,0.681141138,148014.875,333.062836,1.127192487,1.497217024
15.942,-0.088,0.169428945,0.705502927,148023.422,333.390991,1.12830307,1.49730348
15.942,-0.088,0.171131521,0.729864776,148050.938,333.841797,1.129828743,1.497581813
15.942,-0.088,0.17283386,0.754227519,148100.281,334.409546,1.13175019,1.498080933
15.942,-0.088,0.174400702,0.776655674,148159.797,335.100281,1.13408786,1.498682956
15.942,-0.088,0.175842971,0.797304392,148197.125,335.941498,1.136934811,1.49906054
15.942,-0.088,0.177170485,0.816314936,148190.781,336.945953,1.140334212,1.498996369
15.942,-0.088,0.17839247,0.833816409,148113.766,338.067993,1.144131559,1.498217338
15.942,-0.088,0.179516941,0.849922776,147931.219,339.21167,1.148002132,1.496370817
15.942,-0.088,0.180552647,0.864759743,147619.688,340.281189,1.151621731,1.493219583
15.942,-0.088,0.181506336,0.878420711,147172.344,341.220825,1.154801763,1.488694558
15.942,-0.088,0.182383418,0.890986741,146590.094,342.009155,1.157469727,1.482804916
15.942,-0.088,0.183192194,0.902570248,145883.688,342.631714,1.159576668,1.475659397
15.942,-0.088,0.183935389,0.913217247,145087.953,343.071838,1.161066191,1.467610287
15.942,-0.088,0.184619486,0.923017561,144253.734,343.325867,1.161925907,1.4591719
15.942,-0.088,0.185251713,0.932066739,143433.75,343.417603,1.162236371,1.450877504
15.942,-0.088,0.185831517,0.940370202,142660.828,343.387817,1.162135566,1.443059154
15.942,-0.088,0.186365396,0.948016107,141938.266,343.273071,1.161747228,1.435750212
15.942,-0.088,0.186860144,0.955091238,141260.125,343.097473,1.161152948,1.428890603
15.942,-0.088,0.187312514,0.961565733,140620.219,342.876099,1.160403746,1.422417752
15.942,-0.088,0.187729001,0.967526674,140011.531,342.61908,1.159533911,1.416260682
15.942,-0.088,0.188112319,0.973012924,139422.391,342.33139,1.158560275,1.410301345
15.942,-0.088,0.188470006,0.978123724,138840.469,342.014862,1.157489042,1.404415021
15.942,-0.088,0.18879512,0.982772708,138241.203,341.661987,1.156294798,1.398353257
15.942,-0.088,0.189120144,0.98742038,137620.813,341.277405,1.154993248,1.392077817
15.942,-0.088,0.189357787,0.99081862,137023.875,340.895111,1.153699442,1.386039601
15.942,-0.088,0.189531654,0.993304729,136461.297,340.5271,1.152453973,1.380348948
15.942,-0.088,0.18965888,0.995123982,135902.188,340.155945,1.151197864,1.374693385
15.942,-0.088,0.189751893,0.996454,135323.094,339.765869,1.149877721,1.368835667
15.942,-0.088,0.189819962,0.997427344,134706.031,339.34375,1.148449134,1.36259388
15.942,-0.088,0.189869776,0.998139679,134039.063,338.880219,1.146880395,1.355847289
15.942,-0.088,0.18990621,0.998660624,133315.125,338.369629,1.145152393,1.348524428
15.942,-0.088,0.189932838,0.999041438,132530.25,337.80896,1.143254907,1.340585171
15.942,-0.088,0.189952344,0.999320388,131682.813,337.196991,1.141183806,1.332013079
15.942,-0.088,0.189966589,0.999524057,130782.602,336.540833,1.138963155,1.322907162
15.942,-0.088,0.189977035,0.999673426,129872.68,335.873047,1.136703151,1.313703014
15.942,-0.088,0.189984649,0.999782324,129047.531,335.264099,1.134642274,1.305356373
15.942,-0.088,0.189990267,0.999862552,128421.234,334.7995,1.13306992,1.299021181
15.942,-0.088,0.189994335,0.999920845,128042.313,334.517822,1.132116631,1.295188276
15.942,-0.088,0.189997315,0.999963403,127913.703,334.422455,1.131793878,1.293887346
